pktArtWert#pktArtText#oid#pktKnng#east#north#markeWert#markeText#relHoehe#gebArtWert#gebArtText#gStWert#gStText
11003#Grenzpunkt#DEBYvAAAC0DbwgB0##565981.980#5493960.510#1110#Stein, Grenzstein####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAC0DbwgAN##566001.010#5493963.120#1300#Bolzen/Nagel####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAAAAAAeh4#20715223-7380#565621.890#5494172.650#1110#Stein, Grenzstein####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAAAAAAeh1#20715223-7377#565686.530#5494165.060#1110#Stein, Grenzstein####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAC0DbwgEw##566149.760#5494177.020#1110#Stein, Grenzstein####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAAAAAAeh0#20705203-6891#565606.660#5494146.810#1110#Stein, Grenzstein####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAC0DbwgEp##566129.000#5494196.720#1300#Bolzen/Nagel####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAAAAAAehW#20705203-7223#565905.640#5493855.680#1110#Stein, Grenzstein####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAAAAAAZ1L#20715224-7451#566102.050#5494287.000#1110#Stein, Grenzstein####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAAAAAAei9#20705203-7186#565785.110#5493728.870#1110#Stein, Grenzstein####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAAAAAAehU#20705203-7227#565851.750#5493848.850#1110#Stein, Grenzstein####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAAAAAAehS#20705203-7232#565838.800#5493851.820#1110#Stein, Grenzstein####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAAAAAAei5#20705203-7189#565790.000#5493737.450#1110#Stein, Grenzstein####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAAAAAAei3#20705202-7173#565473.440#5494037.040#1110#Stein, Grenzstein####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAAAAAAehY#20705203-7220#565925.940#5493859.420#1110#Stein, Grenzstein####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAAAAAAZ17#20705202-7171#565470.160#5494024.660#1110#Stein, Grenzstein####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAAAAAAZ18#20715224-7450#566256.620#5494403.310#1110#Stein, Grenzstein####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAAAAAAehP#20705203-7236#565734.330#5493879.100#1110#Stein, Grenzstein####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAAAAAAei1#20705202-7174#565476.310#5494036.410#1110#Stein, Grenzstein####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAAAAAAehN#20705203-7234#565778.390#5493866.600#1110#Stein, Grenzstein####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAAAAAAehJ#20705203-7213#565951.470#5493860.050#1110#Stein, Grenzstein####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAAAAAAeds#20715224-7264#566271.860#5494390.130#1110#Stein, Grenzstein####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAC0DbwgCz##565937.730#5494004.110#1200#Rohr####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAC0DbwgCx##565979.410#5493924.670#9500#Ohne Marke####3300#S<=500cm
11003#Grenzpunkt#DEBYvAAAC0DbwgDW##565978.690#5493913.270#9500#Ohne Marke####3300#S<=500cm
11003#Grenzpunkt#DEBYvAAAC0DbwgCv##566119.280#5494136.630#9500#Ohne Marke####3300#S<=500cm
11003#Grenzpunkt#DEBYvAAAC0DbwgDe##565855.330#5493991.790#1400#Meißelzeichen (z. B. Kreuz, Kerbe, Anker)####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAAAAAAedy#20715224-7157#566238.590#5494370.360#1110#Stein, Grenzstein####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAC0DbwgED##565966.510#5493901.810#9500#Ohne Marke####3300#S<=500cm
11003#Grenzpunkt#DEBYvAAAC0DbwgDb##565979.000#5493915.420#9500#Ohne Marke####3300#S<=500cm
11003#Grenzpunkt#DEBYvAAAAAAAAedw#20715224-7464#566265.770#5494390.040#1110#Stein, Grenzstein####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAC0DbwgDM##565976.530#5493909.110#9500#Ohne Marke####3300#S<=500cm
11003#Grenzpunkt#DEBYvAAAAAAAAedd#20715224-7338#566126.920#5494220.230#1110#Stein, Grenzstein####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAC0DbwgCk##566136.860#5494108.830#9500#Ohne Marke####3300#S<=500cm
11003#Grenzpunkt#DEBYvAAAAAAAAeda#20715224-7336#566148.970#5494200.130#1110#Stein, Grenzstein####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAC0DbwgDK##565974.920#5493908.070#9500#Ohne Marke####3300#S<=500cm
11003#Grenzpunkt#DEBYvAAAC0DbwgCj##566179.470#5494102.950#9500#Ohne Marke####3300#S<=500cm
11003#Grenzpunkt#DEBYvAAAC0DbwgCh##566149.510#5494106.460#9500#Ohne Marke####3300#S<=500cm
11003#Grenzpunkt#DEBYvAAAC0DbwgCg##566184.820#5494106.300#9500#Ohne Marke####3300#S<=500cm
11003#Grenzpunkt#DEBYvAAAC0DbwgCf##565883.300#5494001.800#1400#Meißelzeichen (z. B. Kreuz, Kerbe, Anker)####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAC0DbwgCe##566161.800#5494099.890#9500#Ohne Marke####3300#S<=500cm
11003#Grenzpunkt#DEBYvAAAC0DbwgDF##565972.430#5493907.100#9500#Ohne Marke####3300#S<=500cm
11003#Grenzpunkt#DEBYvAAAC0DbwgCs##565905.280#5494035.490#1200#Rohr####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAC0DbwgCr##566124.370#5494126.900#9500#Ohne Marke####3300#S<=500cm
11003#Grenzpunkt#DEBYvAAAC0DbwgDR##565977.730#5493910.810#9500#Ohne Marke####3300#S<=500cm
11003#Grenzpunkt#DEBYvAAAC0DbwgCp##565875.890#5494009.780#1300#Bolzen/Nagel####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAC0DbwgCo##566125.530#5494117.530#9500#Ohne Marke####3300#S<=500cm
11003#Grenzpunkt#DEBYvAAAC0DbwgCn##566170.080#5494102.310#9500#Ohne Marke####3300#S<=500cm
11003#Grenzpunkt#DEBYvAAAC0DbwgDv##565985.050#5493965.660#1300#Bolzen/Nagel####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAAAAAAZ02#20715222-7387#565460.200#5494195.370#1110#Stein, Grenzstein####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAAAAAAZqM#20705202-7170#565464.520#5494024.480#1110#Stein, Grenzstein####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAC0DbwgEN##565970.240#5493905.940#9500#Ohne Marke####3300#S<=500cm
11003#Grenzpunkt#DEBYvAAAC0DbwgDl##565839.310#5493968.900#1400#Meißelzeichen (z. B. Kreuz, Kerbe, Anker)####2100#S<=3cm
11003#Grenzpunkt#DEBYvAAAC0DbwgEM##565968.540#5493904.610#9500#Ohne Marke####3300#S<=500cm
